restaurant_id,restaurant_name,city,area,cuisine,secondary_cuisine,price_band,average_order_value,rating,delivery_time_min,veg_score,healthy_score,spice_score,family_score,romantic_score,budget_score,premium_score,popularity_score,new_restaurant
R0001,Royal Tandoor 1,Mumbai,Bandra,South Indian,North Indian,₹,250,3.9,38,0.43,0.67,0.25,0.71,0.62,0.42,0.49,0.27,1
R0002,Royal Tandoor 2,Bengaluru,Indiranagar,Maharashtrian,Thai,₹,250,4.4,29,0.55,0.52,0.67,0.28,0.69,0.71,0.22,0.59,0
R0003,The Food Project 3,Mumbai,Lower Parel,Chinese,South Indian,₹,250,4.0,24,0.64,0.83,0.88,0.29,0.58,0.47,0.56,0.67,0
R0004,Urban Tiffin 4,Bengaluru,Indiranagar,South Indian,Biryani,₹,250,4.4,43,0.43,0.53,0.92,0.77,0.43,0.86,0.78,0.31,0
R0005,Spice Junction 5,Pune,Hinjewadi,Pizza,Maharashtrian,₹₹₹,550,4.0,36,0.64,0.71,0.24,0.58,0.83,0.84,0.52,0.35,0
R0006,Pizza Craft 6,Delhi,Dwarka,Chinese,Cafe,₹₹₹,550,3.5,26,0.56,0.72,0.55,0.72,0.84,0.62,0.45,0.42,0
R0007,Urban Tiffin 7,Delhi,Connaught Place,Chinese,Healthy,₹₹₹₹,800,4.2,23,0.36,0.2,0.37,0.37,0.67,0.38,0.75,0.91,0
R0008,Biryani House 8,Pune,Viman Nagar,Biryani,North Indian,₹₹₹,650,3.9,25,0.47,0.26,0.22,0.29,0.42,0.35,0.64,0.77,0
R0009,Thai Street 9,Mumbai,Andheri,Biryani,South Indian,₹₹,400,4.4,30,0.36,0.4,0.33,0.84,0.38,0.35,0.33,0.4,0
R0010,Healthy Hub 10,Mumbai,Andheri,Desserts,Cafe,₹₹,350,3.5,15,0.79,0.28,0.9,0.43,0.38,0.81,0.7,0.91,1
R0011,Dosa District 11,Mumbai,Bandra,Chinese,Pizza,₹₹,350,4.0,36,0.34,0.48,0.48,0.65,0.93,0.38,0.23,0.66,0
R0012,Pasta & Co 12,Kolkata,Salt Lake,Pizza,Biryani,₹₹,350,3.3,27,0.24,0.8,0.85,0.84,0.93,0.86,0.36,0.26,1
R0013,Healthy Hub 13,Mumbai,Bandra,South Indian,Cafe,₹₹₹₹,1000,4.1,44,0.76,0.48,0.59,0.33,0.73,0.59,0.56,0.92,1
R0014,Chaat Factory 14,Bengaluru,Koramangala,Maharashtrian,Cafe,₹₹₹,650,4.1,35,0.23,0.36,0.35,0.85,0.5,0.43,0.87,0.63,0
R0015,Dosa District 15,Bengaluru,Koramangala,Healthy,Chinese,₹₹,300,4.3,15,0.42,0.59,0.37,0.23,0.58,0.45,0.54,0.52,0
R0016,Healthy Hub 16,Chennai,T Nagar,Burgers,North Indian,₹₹,450,4.5,33,0.33,0.38,0.68,0.47,0.26,0.83,0.58,0.68,0
R0017,The Curry Lab 17,Bengaluru,Indiranagar,Chinese,Thai,₹₹,300,4.4,65,0.23,0.35,0.35,0.45,0.43,0.81,0.71,0.41,0
R0018,Thai Street 18,Kolkata,Salt Lake,Pizza,Burgers,₹,250,3.5,47,0.82,0.79,0.5,0.5,0.63,0.69,0.55,0.58,0
R0019,Pizza Craft 19,Pune,Viman Nagar,Biryani,Healthy,₹₹,400,4.1,34,0.38,0.64,0.61,0.55,0.81,0.46,0.26,0.83,1
R0020,Royal Tandoor 20,Hyderabad,Banjara Hills,Biryani,Maharashtrian,₹₹₹₹,800,4.2,28,0.22,0.3,0.86,0.43,0.75,0.57,0.69,0.47,0
R0021,Desi Zaika 21,Hyderabad,Banjara Hills,Thai,Pizza,₹₹₹,650,4.1,34,0.44,0.22,0.79,0.89,0.32,0.91,0.45,0.67,1
R0022,The Curry Lab 22,Pune,Viman Nagar,Biryani,Maharashtrian,₹₹₹,650,3.7,38,0.49,0.56,0.45,0.92,0.68,0.43,0.33,0.71,0
R0023,Spice Junction 23,Mumbai,Powai,Cafe,South Indian,₹₹₹₹,800,4.1,21,0.35,0.88,0.49,0.35,0.42,0.59,0.54,0.48,0
