customer_id,age,city,area,occupation,income_band,preferred_cuisine,secondary_cuisine,dietary_preference,avg_order_value,orders_per_month,preferred_order_time,weekend_order_share,discount_sensitivity,rating_tendency,new_restaurant_affinity,restaurant_loyalty,healthy_food_affinity,spicy_food_affinity,premium_affinity,customer_segment
C0001,19,Mumbai,Lower Parel,Healthcare,3-6L,South Indian,Chinese,Vegetarian,430.0,5,Late Night,0.2,0.49,0.37,0.27,0.53,0.12,0.27,0.6,Food Explorer
C0002,44,Kolkata,Salt Lake,Consulting,6-10L,Pizza,North Indian,Vegan,486.0,6,Lunch,0.57,0.42,0.44,0.87,0.4,0.18,0.18,0.77,Food Explorer
C0003,20,Bengaluru,Koramangala,Marketing,6-10L,Thai,Chinese,Vegetarian,442.0,5,Late Night,0.68,0.44,0.47,0.16,0.65,0.76,0.94,0.78,Health Conscious
C0004,42,Mumbai,Lower Parel,Healthcare,6-10L,Burgers,South Indian,No Preference,447.0,5,Lunch,0.55,0.71,0.76,0.16,0.63,0.55,0.31,0.44,Food Explorer
C0005,53,Bengaluru,Koramangala,Consulting,6-10L,North Indian,Pizza,Jain,437.0,5,Evening Snack,0.39,0.2,0.9,0.55,0.69,0.28,0.52,0.8,Food Explorer
C0006,27,Hyderabad,Hitech City,Healthcare,<3L,Cafe,Healthy,Vegetarian,360.0,6,Late Night,0.41,0.62,0.57,0.9,0.25,0.52,0.74,0.78,Budget Explorer
C0007,28,Delhi,Saket,Entrepreneur,6-10L,Thai,Italian,Vegetarian,440.0,3,Dinner,0.47,0.93,0.87,0.11,0.69,0.68,0.56,0.28,Convenience Seeker
C0008,25,Pune,Hinjewadi,Healthcare,6-10L,Italian,North Indian,Low-Calorie,685.0,7,Evening Snack,0.73,0.76,0.65,0.19,0.62,0.82,0.53,0.22,Health Conscious
C0009,28,Pune,Kothrud,Engineering,20L+,Healthy,North Indian,Vegetarian,1074.0,3,Dinner,0.16,0.89,0.88,0.77,0.38,0.15,0.85,0.85,Food Explorer
C0010,49,Mumbai,Bandra,IT/Tech,20L+,Healthy,South Indian,No Preference,1017.0,6,Dinner,0.72,0.28,0.67,0.59,0.87,0.89,0.74,0.64,Food Explorer
C0011,43,Bengaluru,Whitefield,Government,6-10L,Healthy,Italian,No Preference,387.0,6,Lunch,0.19,0.17,0.68,0.57,0.16,0.7,0.15,0.11,Food Explorer
C0012,39,Mumbai,Powai,IT/Tech,6-10L,Pizza,Cafe,Vegetarian,513.0,7,Late Night,0.23,0.9,0.69,0.48,0.74,0.79,0.26,0.13,Convenience Seeker
C0013,40,Hyderabad,Banjara Hills,Entrepreneur,3-6L,Cafe,North Indian,Vegetarian,413.0,3,Breakfast,0.19,0.73,0.83,0.19,0.29,0.56,0.22,0.21,Food Explorer
C0014,33,Hyderabad,Hitech City,IT/Tech,6-10L,Healthy,Chinese,No Preference,598.0,7,Late Night,0.65,0.93,0.91,0.78,0.27,0.51,0.28,0.39,Food Explorer
C0015,28,Mumbai,Powai,Entrepreneur,<3L,Thai,Pizza,High-Protein,336.0,5,Dinner,0.32,0.71,0.79,0.73,0.65,0.51,0.26,0.24,Budget Explorer
C0016,55,Mumbai,Powai,Engineering,<3L,Burgers,North Indian,No Preference,454.0,2,Dinner,0.45,0.83,0.44,0.87,0.21,0.26,0.61,0.62,Food Explorer
C0017,43,Bengaluru,Indiranagar,IT/Tech,20L+,Maharashtrian,Biryani,Vegetarian,858.0,7,Breakfast,0.52,0.49,0.7,0.52,0.85,0.27,0.71,0.25,Convenience Seeker
C0018,26,Pune,Viman Nagar,Healthcare,6-10L,Chinese,North Indian,Vegetarian,604.0,8,Late Night,0.75,0.21,0.48,0.31,0.85,0.85,0.85,0.36,Health Conscious
C0019,46,Delhi,Connaught Place,Engineering,6-10L,Maharashtrian,Cafe,Vegetarian,510.0,5,Late Night,0.33,0.68,0.91,0.21,0.24,0.19,0.57,0.28,Food Explorer
C0020,39,Delhi,Dwarka,Consulting,6-10L,Pizza,Maharashtrian,Vegetarian,597.0,4,Breakfast,0.21,0.49,0.52,0.1,0.73,0.64,0.32,0.68,Food Explorer
C0021,45,Kolkata,Salt Lake,Engineering,<3L,Chinese,Biryani,Vegetarian,150.0,5,Evening Snack,0.5,0.27,0.43,0.35,0.82,0.78,0.83,0.81,Health Conscious
C0022,33,Delhi,Dwarka,IT/Tech,3-6L,Healthy,Thai,Low-Calorie,415.0,8,Lunch,0.71,0.34,0.45,0.74,0.28,0.45,0.25,0.84,Food Explorer
C0023,33,Hyderabad,Banjara Hills,Healthcare,3-6L,Cafe,Chinese,No Preference,386.0,4,Breakfast,0.67,0.33,0.84,0.47,0.38,0.78,0.29,0.07,Health Conscious
C0024,43,Delhi,Dwarka,Government,3-6L,Chinese,Burgers,No Preference,626.0,7,Late Night,0.39,0.93,0.67,0.85,0.24,0.92,0.25,0.87,Health Conscious
C0025,20,Bengaluru,Koramangala,IT/Tech,6-10L,Burgers,Thai,No Preference,420.0,6,Late Night,0.22,0.87,0.46,0.14,0.48,0.54,0.79,0.63,Food Explorer
C0026,41,Delhi,Dwarka,Entrepreneur,<3L,Desserts,Burgers,Vegetarian,438.0,3,Breakfast,0.58,0.39,0.54,0.43,0.45,0.35,0.21,0.41,Food Explorer
C0027,29,Pune,Viman Nagar,Other,6-10L,Thai,Maharashtrian,Jain,345.0,6,Evening Snack,0.32,0.49,0.7,0.62,0.5,0.48,0.28,0.45,Food Explorer
C0028,23,Delhi,Connaught Place,Healthcare,6-10L,Desserts,Maharashtrian,No Preference,507.0,6,Lunch,0.55,0.33,0.47,0.12,0.33,0.5,0.82,0.11,Food Explorer
C0029,54,Hyderabad,Banjara Hills,Consulting,6-10L,Thai,Healthy,No Preference,523.0,6,Lunch,0.54,0.15,0.8,0.72,0.23,0.46,0.25,0.86,Food Explorer
C0030,47,Chennai,Anna Nagar,Student,6-10L,Chinese,Healthy,No Preference,631.0,8,Dinner,0.55,0.94,0.71,0.86,0.82,0.62,0.71,0.48,Food Explorer
C0031,46,Kolkata,Salt Lake,Finance,10-20L,Italian,Healthy,No Preference,729.0,1,Lunch,0.65,0.37,0.82,0.49,0.33,0.47,0.71,0.25,Food Explorer
C0032,38,Pune,Hinjewadi,Engineering,<3L,South Indian,Pizza,No Preference,229.0,6,Lunch,0.57,0.2,0.59,0.53,0.46,0.28,0.46,0.82,Food Explorer
C0033,19,Ahmedabad,Navrangpura,Other,3-6L,North Indian,Thai,No Preference,305.0,7,Dinner,0.66,0.91,0.6,0.7,0.56,0.61,0.29,0.24,Budget Explorer
C0034,49,Hyderabad,Banjara Hills,Student,3-6L,Desserts,Cafe,Vegan,267.0,8,Lunch,0.65,0.89,0.94,0.53,0.83,0.6,0.66,0.12,Convenience Seeker
C0035,26,Hyderabad,Banjara Hills,Marketing,3-6L,Pizza,Italian,No Preference,354.0,4,Dinner,0.35,0.76,0.58,0.7,0.77,0.31,0.17,0.07,Budget Explorer
C0036,21,Kolkata,Salt Lake,Government,3-6L,Chinese,Cafe,No Preference,652.0,7,Breakfast,0.72,0.31,0.36,0.22,0.24,0.67,0.58,0.24,Food Explorer
C0037,41,Bengaluru,Koramangala,Finance,6-10L,Cafe,Chinese,Vegan,488.0,8,Lunch,0.73,0.24,0.37,0.35,0.66,0.91,0.44,0.66,Health Conscious
C0038,55,Mumbai,Bandra,Consulting,<3L,Pizza,Cafe,Vegetarian,374.0,8,Breakfast,0.63,0.6,0.37,0.53,0.65,0.16,0.65,0.06,Food Explorer
C0039,49,Hyderabad,Banjara Hills,IT/Tech,6-10L,Burgers,Cafe,High-Protein,606.0,11,Dinner,0.57,0.5,0.79,0.87,0.35,0.79,0.56,0.46,Health Conscious
C0040,55,Hyderabad,Banjara Hills,Healthcare,3-6L,Biryani,Chinese,No Preference,385.0,8,Dinner,0.3,0.52,0.72,0.4,0.17,0.82,0.25,0.23,Health Conscious
C0041,39,Bengaluru,Koramangala,Healthcare,10-20L,Cafe,Pizza,Vegetarian,651.0,5,Late Night,0.72,0.22,0.78,0.49,0.72,0.69,0.65,0.47,Convenience Seeker
C0042,23,Mumbai,Andheri,Healthcare,3-6L,Cafe,Biryani,No Preference,388.0,4,Late Night,0.37,0.59,0.56,0.9,0.56,0.4,0.49,0.31,Budget Explorer
C0043,25,Bengaluru,Indiranagar,Consulting,3-6L,Cafe,Healthy,Low-Calorie,536.0,4,Lunch,0.26,0.74,0.52,0.57,0.72,0.61,0.93,0.76,Food Explorer
C0044,32,Bengaluru,Whitefield,Government,3-6L,North Indian,Maharashtrian,No Preference,393.0,9,Breakfast,0.73,0.59,0.77,0.2,0.8,0.52,0.84,0.54,Convenience Seeker
C0045,48,Chennai,T Nagar,Marketing,3-6L,North Indian,Burgers,Low-Calorie,301.0,5,Dinner,0.22,0.2,0.65,0.56,0.66,0.23,0.79,0.86,Food Explorer
C0046,33,Mumbai,Bandra,IT/Tech,6-10L,Thai,Desserts,Vegetarian,489.0,4,Late Night,0.29,0.57,0.62,0.45,0.8,0.94,0.36,0.58,Health Conscious
C0047,31,Mumbai,Lower Parel,Consulting,3-6L,Chinese,Biryani,No Preference,475.0,8,Late Night,0.2,0.15,0.62,0.58,0.37,0.3,0.7,0.65,Food Explorer
C0048,22,Hyderabad,Hitech City,Consulting,10-20L,Desserts,Maharashtrian,Vegetarian,827.0,3,Lunch,0.41,0.59,0.74,0.83,0.77,0.16,0.24,0.31,Food Explorer
C0049,36,Ahmedabad,Navrangpura,Marketing,<3L,Cafe,Pizza,Vegetarian,344.0,5,Evening Snack,0.45,0.55,0.4,0.13,0.47,0.37,0.31,0.13,Food Explorer
C0050,55,Ahmedabad,Navrangpura,Student,20L+,Desserts,Pizza,Vegetarian,1077.0,5,Lunch,0.43,0.67,0.9,0.25,0.59,0.64,0.52,0.13,Food Explorer
C0051,44,Pune,Kothrud,Government,3-6L,Chinese,Biryani,No Preference,524.0,5,Dinner,0.32,0.91,0.84,0.54,0.49,0.37,0.37,0.87,Food Explorer
C0052,50,Pune,Viman Nagar,Student,6-10L,Healthy,Italian,No Preference,356.0,5,Lunch,0.46,0.65,0.65,0.45,0.19,0.33,0.21,0.29,Food Explorer
C0053,25,Chennai,T Nagar,Student,20L+,Maharashtrian,Biryani,Vegetarian,1159.0,8,Evening Snack,0.48,0.59,0.41,0.89,0.83,0.49,0.2,0.76,Food Explorer
C0054,36,Chennai,T Nagar,Engineering,6-10L,Thai,Healthy,Low-Calorie,376.0,2,Lunch,0.42,0.27,0.46,0.58,0.71,0.22,0.16,0.71,Food Explorer
C0055,39,Hyderabad,Banjara Hills,Engineering,3-6L,North Indian,Burgers,Vegetarian,408.0,4,Late Night,0.5,0.68,0.87,0.46,0.51,0.38,0.75,0.37,Food Explorer
C0056,30,Pune,Hinjewadi,Consulting,6-10L,Biryani,Italian,No Preference,438.0,8,Dinner,0.57,0.8,0.58,0.63,0.77,0.93,0.52,0.08,Health Conscious
C0057,55,Chennai,Anna Nagar,Government,10-20L,Italian,Chinese,Vegetarian,617.0,11,Dinner,0.16,0.27,0.87,0.88,0.21,0.76,0.33,0.58,Health Conscious
C0058,23,Pune,Viman Nagar,Government,10-20L,Healthy,Thai,Low-Calorie,644.0,8,Dinner,0.67,0.18,0.39,0.6,0.84,0.95,0.73,0.42,Health Conscious
C0059,24,Mumbai,Lower Parel,Marketing,3-6L,Pizza,North Indian,No Preference,353.0,10,Breakfast,0.33,0.45,0.44,0.52,0.57,0.77,0.24,0.12,Health Conscious
C0060,33,Pune,Viman Nagar,Marketing,10-20L,South Indian,Pizza,Vegetarian,639.0,4,Evening Snack,0.43,0.68,0.89,0.47,0.37,0.56,0.16,0.85,Food Explorer
C0061,37,Ahmedabad,Navrangpura,Entrepreneur,6-10L,Italian,Pizza,No Preference,291.0,4,Dinner,0.66,0.24,0.58,0.39,0.37,0.69,0.12,0.76,Food Explorer
C0062,35,Pune,Viman Nagar,Student,6-10L,Desserts,North Indian,High-Protein,677.0,4,Dinner,0.65,0.87,0.82,0.28,0.75,0.29,0.26,0.26,Convenience Seeker
C0063,24,Delhi,Saket,Student,3-6L,Italian,North Indian,Vegetarian,337.0,4,Lunch,0.2,0.39,0.8,0.24,0.25,0.56,0.93,0.5,Food Explorer
C0064,28,Bengaluru,Koramangala,Healthcare,10-20L,Italian,Pizza,Vegetarian,720.0,9,Evening Snack,0.63,0.52,0.4,0.7,0.32,0.67,0.67,0.39,Food Explorer
C0065,41,Kolkata,Salt Lake,IT/Tech,10-20L,North Indian,Burgers,Vegetarian,731.0,5,Dinner,0.37,0.75,0.51,0.4,0.63,0.42,0.67,0.45,Food Explorer
C0066,38,Kolkata,Salt Lake,Other,3-6L,Chinese,Cafe,Jain,528.0,3,Evening Snack,0.54,0.24,0.38,0.13,0.9,0.2,0.3,0.51,Food Explorer
C0067,47,Pune,Viman Nagar,Government,6-10L,Cafe,Healthy,No Preference,532.0,9,Lunch,0.68,0.67,0.85,0.59,0.85,0.34,0.69,0.23,Food Explorer
C0068,33,Hyderabad,Hitech City,Government,<3L,Desserts,Burgers,Vegetarian,217.0,6,Evening Snack,0.19,0.37,0.93,0.86,0.77,0.18,0.28,0.59,Food Explorer
C0069,21,Mumbai,Andheri,Government,3-6L,South Indian,Desserts,No Preference,427.0,8,Late Night,0.27,0.32,0.87,0.36,0.26,0.87,0.1,0.78,Health Conscious
C0070,26,Delhi,Saket,Engineering,3-6L,South Indian,Chinese,Vegetarian,385.0,7,Breakfast,0.23,0.44,0.82,0.57,0.16,0.33,0.21,0.41,Food Explorer
C0071,22,Mumbai,Lower Parel,Marketing,6-10L,Burgers,Maharashtrian,Vegetarian,288.0,7,Dinner,0.45,0.91,0.38,0.73,0.8,0.54,0.49,0.87,Budget Explorer
C0072,48,Mumbai,Powai,Entrepreneur,3-6L,Chinese,Healthy,Vegetarian,327.0,12,Dinner,0.19,0.21,0.71,0.15,0.36,0.64,0.57,0.33,Food Explorer
C0073,36,Chennai,Anna Nagar,Marketing,6-10L,Thai,Chinese,Vegan,493.0,10,Breakfast,0.66,0.67,0.81,0.68,0.31,0.48,0.29,0.34,Food Explorer
C0074,43,Hyderabad,Hitech City,Entrepreneur,6-10L,Burgers,Italian,No Preference,472.0,7,Evening Snack,0.37,0.27,0.9,0.15,0.77,0.18,0.18,0.68,Convenience Seeker
C0075,53,Delhi,Saket,Student,6-10L,Healthy,Maharashtrian,No Preference,455.0,6,Breakfast,0.4,0.85,0.91,0.44,0.84,0.14,0.34,0.32,Convenience Seeker
C0076,54,Mumbai,Lower Parel,Engineering,3-6L,Desserts,Italian,No Preference,442.0,7,Breakfast,0.36,0.6,0.42,0.32,0.32,0.46,0.58,0.7,Food Explorer
C0077,19,Kolkata,Salt Lake,Other,10-20L,Cafe,Pizza,No Preference,717.0,5,Evening Snack,0.57,0.4,0.55,0.1,0.8,0.58,0.44,0.17,Food Explorer
C0078,23,Mumbai,Andheri,Engineering,3-6L,Thai,Healthy,No Preference,495.0,6,Evening Snack,0.34,0.41,0.91,0.58,0.81,0.23,0.74,0.09,Food Explorer
C0079,35,Mumbai,Bandra,Marketing,6-10L,Italian,Desserts,No Preference,606.0,8,Evening Snack,0.28,0.56,0.56,0.19,0.66,0.6,0.55,0.31,Food Explorer
C0080,43,Bengaluru,Indiranagar,Other,<3L,Biryani,Burgers,Low-Calorie,150.0,7,Lunch,0.61,0.38,0.42,0.5,0.47,0.21,0.55,0.25,Food Explorer
C0081,40,Kolkata,Salt Lake,IT/Tech,3-6L,Cafe,North Indian,No Preference,379.0,4,Dinner,0.7,0.84,0.7,0.56,0.68,0.46,0.2,0.07,Budget Explorer
C0082,28,Pune,Hinjewadi,Other,6-10L,Cafe,Burgers,No Preference,540.0,3,Breakfast,0.3,0.62,0.66,0.42,0.38,0.39,0.38,0.19,Food Explorer
C0083,25,Chennai,Anna Nagar,Engineering,6-10L,Burgers,Thai,Vegetarian,537.0,6,Lunch,0.29,0.27,0.47,0.58,0.72,0.66,0.25,0.71,Food Explorer
C0084,47,Chennai,T Nagar,Other,10-20L,Italian,Cafe,High-Protein,606.0,3,Late Night,0.54,0.94,0.54,0.88,0.39,0.47,0.5,0.59,Food Explorer
C0085,55,Bengaluru,Koramangala,Student,3-6L,Chinese,Burgers,Vegetarian,298.0,3,Breakfast,0.18,0.82,0.4,0.79,0.79,0.62,0.53,0.44,Budget Explorer
C0086,20,Kolkata,Salt Lake,Marketing,10-20L,Maharashtrian,Cafe,No Preference,644.0,5,Late Night,0.44,0.27,0.39,0.18,0.82,0.39,0.71,0.48,Food Explorer
C0087,20,Delhi,Connaught Place,Consulting,6-10L,Italian,Maharashtrian,Vegetarian,551.0,4,Lunch,0.37,0.88,0.58,0.72,0.66,0.14,0.64,0.33,Food Explorer
C0088,24,Pune,Hinjewadi,Engineering,6-10L,Pizza,Burgers,Vegetarian,620.0,5,Late Night,0.67,0.42,0.7,0.21,0.41,0.92,0.69,0.38,Health Conscious
C0089,37,Mumbai,Bandra,Engineering,3-6L,Burgers,South Indian,Vegetarian,352.0,5,Late Night,0.21,0.69,0.66,0.11,0.38,0.91,0.39,0.7,Health Conscious
C0090,32,Delhi,Dwarka,Finance,3-6L,Pizza,Chinese,Vegetarian,150.0,6,Late Night,0.65,0.86,0.37,0.37,0.72,0.21,0.42,0.19,Food Explorer
C0091,46,Delhi,Connaught Place,Student,3-6L,Desserts,Biryani,Low-Calorie,532.0,4,Late Night,0.32,0.75,0.62,0.53,0.38,0.79,0.5,0.76,Health Conscious
C0092,54,Pune,Kothrud,Marketing,6-10L,Pizza,Italian,Vegetarian,254.0,4,Dinner,0.73,0.8,0.83,0.21,0.34,0.65,0.84,0.52,Food Explorer
